Generation: 101 | 0.363635 0.010619  | Fitness: -1.9999
Generation: 102 | 0.363129 0.0104032  | Fitness: -1.99996
Generation: 103 | 0.361723 0.00947907  | Fitness: -1.99999
Generation: 104 | 0.362331 0.0105597  | Fitness: -2
Generation: 105 | 0.362613 -0.0026311  | Fitness: -2
Generation: 106 | 0.362613 -0.0026311  | Fitness: -2
Generation: 107 | 0.362366 -0.000461743  | Fitness: -2
Generation: 108 | -1.56453 0.52655  | Fitness: -1.99999
Generation: 109 | 0.363626 0.000719084  | Fitness: -1.99992
Generation: 110 | 0.363381 0.000631317  | Fitness: -1.99995
Generation: 111 | 0.364548 0.00172989  | Fitness: -1.99978
Generation: 112 | 0.363949 0.00145679  | Fitness: -1.99988
Generation: 113 | -1.3712 -1.44464  | Fitness: -1.99999
Generation: 114 | 0.366246 0.00361501  | Fitness: -1.99929
Generation: 115 | 0.365441 0.0030794  | Fitness: -1.99956
Generation: 116 | 0.363959 0.00283953  | Fitness: -1.99988
Generation: 117 | 0.3623 0.00253411  | Fitness: -2
Generation: 118 | 0.361356 0.00197999  | Fitness: -1.99996
Generation: 119 | 0.361356 0.00197999  | Fitness: -1.99996
Generation: 120 | 0.361398 0.00199584  | Fitness: -1.99996
Generation: 121 | 0.361398 0.00199584  | Fitness: -1.99996
Generation: 122 | 0.36141 0.00250117  | Fitness: -1.99996
Generation: 123 | 0.36141 0.00250117  | Fitness: -1.99996
Generation: 124 | 0.361704 0.0257848  | Fitness: -2
Generation: 125 | 0.361598 0.0253745  | Fitness: -2
Generation: 126 | 0.361574 0.0253609  | Fitness: -2
Generation: 127 | 0.361542 0.0251595  | Fitness: -2
Generation: 128 | 0.36092 0.0249198  | Fitness: -1.99999
Generation: 129 | 0.360814 0.0245296  | Fitness: -1.99998
Generation: 130 | 0.360071 0.0240675  | Fitness: -1.99991
Generation: 131 | 0.360071 0.0240675  | Fitness: -1.99991
Generation: 132 | 0.359939 0.0236352  | Fitness: -1.99988
Generation: 133 | 0.359939 0.0236352  | Fitness: -1.99988
Generation: 134 | 0.359272 0.029953  | Fitness: -1.99986
Generation: 135 | 0.359272 0.029953  | Fitness: -1.99986
Generation: 136 | 0.359272 0.029953  | Fitness: -1.99986
Generation: 137 | 0.358519 0.0294514  | Fitness: -1.9997
Generation: 138 | 0.358519 0.0294514  | Fitness: -1.9997
Generation: 139 | 0.358519 0.0294514  | Fitness: -1.9997
Generation: 140 | 0.358519 0.0294514  | Fitness: -1.9997
Generation: 141 | 0.357958 0.0288798  | Fitness: -1.99955
Generation: 142 | 0.357947 0.0288953  | Fitness: -1.99955
Generation: 143 | 0.357729 0.0287055  | Fitness: -1.99948
Generation: 144 | 0.357729 0.0287055  | Fitness: -1.99948
Generation: 145 | 0.35771 0.0288243  | Fitness: -1.99948
Generation: 146 | 0.356991 0.0281714  | Fitness: -1.99922
Generation: 147 | 0.356991 0.0281714  | Fitness: -1.99922
Generation: 148 | 0.355785 0.0363422  | Fitness: -1.99904
Generation: 149 | 0.356407 0.0361917  | Fitness: -1.99927
Generation: 150 | 0.35586 0.0360387  | Fitness: -1.99906
Generation: 151 | 0.356051 0.0358856  | Fitness: -1.99913
Generation: 152 | 0.35535 0.0498857  | Fitness: -1.99947
Generation: 153 | 0.35535 0.0498857  | Fitness: -1.99947
Generation: 154 | 0.355291 0.0497751  | Fitness: -1.99944
Generation: 155 | 0.354534 0.0492011  | Fitness: -1.99916
Generation: 156 | 0.354534 0.0492011  | Fitness: -1.99916
Generation: 157 | 0.354472 0.0490349  | Fitness: -1.99913
Generation: 158 | 0.353882 0.0487621  | Fitness: -1.99887
Generation: 159 | 0.353845 0.0486403  | Fitness: -1.99885
Generation: 160 | 0.353805 0.0486021  | Fitness: -1.99883
Generation: 161 | 0.355374 0.0549024  | Fitness: -1.99967
Generation: 162 | 0.355374 0.0549024  | Fitness: -1.99967
Generation: 163 | 0.355285 0.0546857  | Fitness: -1.99964
Generation: 164 | 0.355285 0.0546857  | Fitness: -1.99964
Generation: 165 | 0.355285 0.0546857  | Fitness: -1.99964
Generation: 166 | 0.355285 0.0546857  | Fitness: -1.99964
Generation: 167 | 0.356947 0.0610817  | Fitness: -2
Generation: 168 | 0.356947 0.0610817  | Fitness: -2
Generation: 169 | 0.356947 0.0610817  | Fitness: -2
Generation: 170 | 0.356897 0.0609562  | Fitness: -2
Generation: 171 | 0.356897 0.0609562  | Fitness: -2
Generation: 172 | 0.356897 0.0609562  | Fitness: -2
Generation: 173 | 0.356897 0.0609562  | Fitness: -2
Generation: 174 | 0.356868 0.060911  | Fitness: -2
Generation: 175 | 0.356232 0.0603364  | Fitness: -1.99995
Generation: 176 | 0.35616 0.0599992  | Fitness: -1.99994
Generation: 177 | 0.355443 0.0595106  | Fitness: -1.99983
Generation: 178 | 0.355443 0.0595106  | Fitness: -1.99983
Generation: 179 | 0.355427 0.0594959  | Fitness: -1.99983
Generation: 180 | 0.355427 0.0594959  | Fitness: -1.99983
Generation: 181 | 0.355396 0.0594599  | Fitness: -1.99982
Generation: 182 | 0.355396 0.0594599  | Fitness: -1.99982
Generation: 183 | 0.355368 0.0594304  | Fitness: -1.99982
Generation: 184 | 0.35535 0.059411  | Fitness: -1.99982
Generation: 185 | 0.35535 0.059411  | Fitness: -1.99982
Generation: 186 | 0.35535 0.059411  | Fitness: -1.99982
Generation: 187 | 0.355303 0.0593578  | Fitness: -1.99981
Generation: 188 | 0.355242 0.0592884  | Fitness: -1.99979
Generation: 189 | 0.355206 0.0592484  | Fitness: -1.99978
Generation: 190 | 0.355206 0.0592484  | Fitness: -1.99978
Generation: 191 | 0.355206 0.0592484  | Fitness: -1.99978
Generation: 192 | 0.355206 0.0592484  | Fitness: -1.99978
Generation: 193 | 0.355206 0.0592484  | Fitness: -1.99978
Generation: 194 | 0.355204 0.059245  | Fitness: -1.99978
Generation: 195 | 0.355202 0.0592397  | Fitness: -1.99978
Generation: 196 | 0.355202 0.0592397  | Fitness: -1.99978
Generation: 197 | 0.355188 0.059224  | Fitness: -1.99978
Generation: 198 | 0.355061 0.059088  | Fitness: -1.99975
Generation: 199 | 0.355049 0.0590739  | Fitness: -1.99975
Generation: 200 | 0.355041 0.0590663  | Fitness: -1.99974
