Generation: 1 | 2.76595 -4.89912  | Fitness: -1.99886
Generation: 2 | -1.27655 -4.43806  | Fitness: -1.99969
Generation: 3 | 4.07041 3.77776  | Fitness: -1.99986
Generation: 4 | 2.60369 2.27832  | Fitness: -1.99962
Generation: 5 | 2.60369 2.27832  | Fitness: -1.99962
Generation: 6 | -1.33317 0.130187  | Fitness: -1.99998
Generation: 7 | -0.508543 4.03616  | Fitness: -1.98629
Generation: 8 | -2.005 -2.38048  | Fitness: -1.98938
Generation: 9 | -1.45837 -2.24378  | Fitness: -1.99106
Generation: 10 | -0.511107 3.69443  | Fitness: -1.994
Generation: 11 | 3.77248 2.04843  | Fitness: -1.99152
Generation: 12 | -4.96517 -5.21296  | Fitness: -1.99363
Generation: 13 | 2.46525 2.57642  | Fitness: -1.99804
Generation: 14 | -2.05066 -2.43421  | Fitness: -1.99383
Generation: 15 | -2.44928 -2.29192  | Fitness: -1.99614
Generation: 16 | -0.576654 2.54877  | Fitness: -1.99228
Generation: 17 | 2.198 2.56451  | Fitness: -1.99957
Generation: 18 | -2.0315 -3.73843  | Fitness: -1.98899
Generation: 19 | -0.51915 0.429102  | Fitness: -1.9958
Generation: 20 | -1.42945 -0.351613  | Fitness: -1.99985
Generation: 21 | -1.42945 -0.351613  | Fitness: -1.99985
Generation: 22 | -4.43364 -4.5038  | Fitness: -1.99552
Generation: 23 | -4.03006 -4.81098  | Fitness: -1.9989
Generation: 24 | -4.03006 -4.81098  | Fitness: -1.9989
Generation: 25 | -1.90897 -3.05986  | Fitness: -1.99999
Generation: 26 | -3.40017 -3.98965  | Fitness: -1.99399
Generation: 27 | -0.59799 0.316619  | Fitness: -1.99995
Generation: 28 | -1.43155 -1.55834  | Fitness: -1.99754
Generation: 29 | -1.43155 -1.55834  | Fitness: -1.99754
Generation: 30 | -3.90746 -4.68168  | Fitness: -1.99984
Generation: 31 | -0.306884 -0.589337  | Fitness: -1.92706
Generation: 32 | -2.52294 -3.4849  | Fitness: -1.99997
Generation: 33 | -3.7998 -4.57735  | Fitness: -1.99557
Generation: 34 | -3.7998 -4.57735  | Fitness: -1.99557
Generation: 35 | -1.51246 -2.52279  | Fitness: -1.98522
