Generation: 1 | -5.00523 -2.17774  | Fitness: -1.97579
Generation: 2 | 3.4573 2.99273  | Fitness: -1.98455
Generation: 3 | 3.45012 2.88312  | Fitness: -1.99907
Generation: 4 | 3.45012 2.88312  | Fitness: -1.99907
Generation: 5 | -1.65616 -1.1449  | Fitness: -1.99908
Generation: 6 | 3.45012 2.88312  | Fitness: -1.99907
Generation: 7 | -1.52419 -2.47962  | Fitness: -1.99969
Generation: 8 | -1.52419 -2.47962  | Fitness: -1.99969
Generation: 9 | -1.52419 -2.47962  | Fitness: -1.99969
Generation: 10 | -1.46549 -2.44149  | Fitness: -1.99636
Generation: 11 | -1.36723 -2.34185  | Fitness: -1.99703
Generation: 12 | -1.47142 -4.51961  | Fitness: -1.99671
Generation: 13 | -1.47142 -4.51961  | Fitness: -1.99671
Generation: 14 | -2.09903 -5.26394  | Fitness: -1.99857
Generation: 15 | 1.77909 2.50937  | Fitness: -1.99945
Generation: 16 | 1.77909 2.50937  | Fitness: -1.99945
Generation: 17 | -4.63354 -3.68338  | Fitness: -1.999
Generation: 18 | 1.66841 2.26691  | Fitness: -1.99966
Generation: 19 | 2.6749 -0.0703185  | Fitness: -2
Generation: 20 | 2.6749 -0.0703185  | Fitness: -2
Generation: 21 | 2.6749 -0.0703185  | Fitness: -2
Generation: 22 | -3.22391 -3.36295  | Fitness: -1.99311
Generation: 23 | 2.04812 1.99351  | Fitness: -2
Generation: 24 | -1.39183 -2.52064  | Fitness: -1.99967
Generation: 25 | 1.43003 -0.0230123  | Fitness: -1.99904
Generation: 26 | 1.43003 -0.0230123  | Fitness: -1.99904
Generation: 27 | 1.43003 -0.0230123  | Fitness: -1.99904
Generation: 28 | -0.524774 0.425994  | Fitness: -1.99991
Generation: 29 | -0.524774 0.425994  | Fitness: -1.99991
Generation: 30 | -0.574386 0.360171  | Fitness: -1.99853
Generation: 31 | -0.571852 0.361693  | Fitness: -1.99995
Generation: 32 | -0.571852 0.361693  | Fitness: -1.99995
Generation: 33 | -0.618942 0.271325  | Fitness: -1.99985
Generation: 34 | -0.615711 -1.49644  | Fitness: -1.99987
Generation: 35 | -0.630284 0.245675  | Fitness: -1.99999
Generation: 36 | -0.630284 0.245675  | Fitness: -1.99999
Generation: 37 | -0.630284 0.245675  | Fitness: -1.99999
Generation: 38 | 0.227814 0.275821  | Fitness: -1.99908
