Generation: 1 | 2.51031 -4.78684  | Fitness: -1.99946
Generation: 2 | -1.85513 -2.89414  | Fitness: -1.99918
Generation: 3 | 0.0702042 1.50949  | Fitness: -1.99997
Generation: 4 | 0.0702042 1.50949  | Fitness: -1.99997
Generation: 5 | -2.3185 -3.16159  | Fitness: -1.99833
Generation: 6 | -2.3185 -3.16159  | Fitness: -1.99833
Generation: 7 | 2.3083 -1.87114  | Fitness: -1.97877
Generation: 8 | 3.9214 -0.287726  | Fitness: -1.99627
Generation: 9 | 1.51092 -0.0527783  | Fitness: -1.99397
Generation: 10 | -3.63153 -2.51436  | Fitness: -1.99603
Generation: 11 | 1.48441 1.22205  | Fitness: -1.98135
Generation: 12 | -1.86904 -2.44321  | Fitness: -1.99975
Generation: 13 | 4.52695 4.04341  | Fitness: -1.99857
Generation: 14 | -2.55808 -1.70842  | Fitness: -1.99997
Generation: 15 | -2.55808 -1.70842  | Fitness: -1.99997
Generation: 16 | -0.167674 1.0156  | Fitness: -1.99511
Generation: 17 | -1.67684 -1.80626  | Fitness: -1.99974
Generation: 18 | -1.67684 -1.80626  | Fitness: -1.99974
Generation: 19 | 2.04594 1.32089  | Fitness: -1.99581
Generation: 20 | -0.97892 -1.28815  | Fitness: -1.99951
Generation: 21 | -0.97892 -1.28815  | Fitness: -1.99951
Generation: 22 | -0.97892 -1.28815  | Fitness: -1.99951
Generation: 23 | -1.39764 -1.68751  | Fitness: -1.99997
Generation: 24 | 1.43279 3.41613  | Fitness: -1.99943
Generation: 25 | 1.79627 1.0806  | Fitness: -1.9997
Generation: 26 | -0.946592 -1.31203  | Fitness: -1.99917
Generation: 27 | -0.946592 -1.31203  | Fitness: -1.99917
Generation: 28 | -1.79976 -1.76445  | Fitness: -1.98712
Generation: 29 | -1.74506 -1.67758  | Fitness: -1.99974
Generation: 30 | 1.94435 1.21956  | Fitness: -1.99999
Generation: 31 | 1.1956 3.00474  | Fitness: -2
Generation: 32 | 1.1956 3.00474  | Fitness: -2
