Generation: 1 | -3.29434 -4.9683  | Fitness: -1.99999
Generation: 2 | -1.32606 -3.6834  | Fitness: -1.99943
Generation: 3 | -1.31871 -3.59337  | Fitness: -1.98011
Generation: 4 | 2.431 -4.11131  | Fitness: -1.99825
Generation: 5 | 1.25914 -1.85763  | Fitness: -1.99755
Generation: 6 | 1.25914 -1.85763  | Fitness: -1.99755
Generation: 7 | -0.487976 -2.70284  | Fitness: -1.96287
Generation: 8 | 1.24043 -3.7489  | Fitness: -1.99775
Generation: 9 | 2.20028 -1.73771  | Fitness: -1.99972
Generation: 10 | -4.0362 -2.00051  | Fitness: -1.99997
Generation: 11 | -3.92658 -3.55752  | Fitness: -1.99998
Generation: 12 | -3.92658 -3.55752  | Fitness: -1.99998
Generation: 13 | -3.92658 -3.55752  | Fitness: -1.99998
Generation: 14 | -3.82093 -3.45024  | Fitness: -1.99999
Generation: 15 | -3.82093 -3.45024  | Fitness: -1.99999
Generation: 16 | -3.82093 -3.45024  | Fitness: -1.99999
Generation: 17 | -3.82093 -3.45024  | Fitness: -1.99999
Generation: 18 | -3.82093 -3.45024  | Fitness: -1.99999
Generation: 19 | 0.095117 0.356963  | Fitness: -1.99766
Generation: 20 | 2.48888 4.30298  | Fitness: -1.99964
Generation: 21 | -5.31382 -4.72469  | Fitness: -1.99413
Generation: 22 | -5.31382 -4.72469  | Fitness: -1.99413
Generation: 23 | 0.0689855 0.359149  | Fitness: -1.99948
Generation: 24 | 0.0689855 0.359149  | Fitness: -1.99948
Generation: 25 | 2.34183 4.09593  | Fitness: -1.99995
Generation: 26 | 0.0695122 0.359291  | Fitness: -1.9994
Generation: 27 | 2.05119 1.86154  | Fitness: -1.99999
Generation: 28 | 2.05119 1.86154  | Fitness: -1.99999
Generation: 29 | 0.0624354 0.35057  | Fitness: -1.99832
Generation: 30 | 0.0624354 0.35057  | Fitness: -1.99832
Generation: 31 | 0.0624255 0.350387  | Fitness: -1.99822
Generation: 32 | 0.0915911 0.35101  | Fitness: -1.99999
Generation: 33 | 0.0894325 0.348488  | Fitness: -1.99971
Generation: 34 | 0.0894325 0.348488  | Fitness: -1.99971
Generation: 35 | 0.0894325 0.348488  | Fitness: -1.99971
Generation: 36 | -0.00358666 -3.93751  | Fitness: -1.99993
Generation: 37 | 0.0316443 0.364107  | Fitness: -1.99955
Generation: 38 | 0.0308694 0.361387  | Fitness: -1.99999
Generation: 39 | 0.0946578 0.344036  | Fitness: -1.99869
Generation: 40 | 0.0946578 0.344036  | Fitness: -1.99869
Generation: 41 | 0.0285127 0.354378  | Fitness: -1.99801
Generation: 42 | 0.0274376 0.352697  | Fitness: -1.99688
Generation: 43 | 0.0365556 0.352317  | Fitness: -1.99719
Generation: 44 | 0.0365556 0.352317  | Fitness: -1.99719
Generation: 45 | 0.0365556 0.352317  | Fitness: -1.99719
Generation: 46 | 0.0351465 0.349887  | Fitness: -1.9952
Generation: 47 | 0.0351465 0.349887  | Fitness: -1.9952
Generation: 48 | 0.0336202 0.347593  | Fitness: -1.99287
Generation: 49 | -1.84595 -1.56619  | Fitness: -1.99797
Generation: 50 | -3.14388 -4.01782  | Fitness: -2
Generation: 51 | -3.14388 -4.01782  | Fitness: -2
Generation: 52 | -3.14388 -4.01782  | Fitness: -2
Generation: 53 | -3.14388 -4.01782  | Fitness: -2
Generation: 54 | -3.08978 -3.94304  | Fitness: -1.99699
Generation: 55 | -3.08978 -3.94304  | Fitness: -1.99699
Generation: 56 | 0.0236274 0.302423  | Fitness: -1.89081
Generation: 57 | -3.06511 -3.90876  | Fitness: -1.9577
Generation: 58 | -1.68531 -1.42712  | Fitness: -1.96424
Generation: 59 | 0.504538 -1.63647  | Fitness: -1.99999
