Generation: 1 | 0.0615593 3.11194  | Fitness: -1.99999
Generation: 2 | 0.0615593 3.11194  | Fitness: -1.99999
Generation: 3 | 2.60037 -2.83278  | Fitness: -1.99947
Generation: 4 | 2.60037 -2.83278  | Fitness: -1.99947
Generation: 5 | 2.60037 -2.83278  | Fitness: -1.99947
Generation: 6 | 2.37929 2.27373  | Fitness: -1.98272
Generation: 7 | -0.471446 -2.40424  | Fitness: -1.99911
Generation: 8 | 2.68092 -0.196497  | Fitness: -1.99642
Generation: 9 | -3.93418 0.498061  | Fitness: -1.988
Generation: 10 | 2.84336 1.8091  | Fitness: -1.9909
Generation: 11 | -1.55151 -2.78901  | Fitness: -1.99774
Generation: 12 | 2.64084 -3.13592  | Fitness: -1.98141
Generation: 13 | 2.75356 2.55265  | Fitness: -1.99582
Generation: 14 | 2.76212 1.68093  | Fitness: -1.9347
Generation: 15 | -0.156177 0.338169  | Fitness: -1.99512
Generation: 16 | -3.92517 -2.9257  | Fitness: -1.99737
Generation: 17 | -2.37352 -1.98527  | Fitness: -1.99737
Generation: 18 | 2.34974 1.33027  | Fitness: -1.9951
Generation: 19 | 1.77882 0.403917  | Fitness: -1.99993
Generation: 20 | -1.31934 -2.16374  | Fitness: -1.99711
Generation: 21 | -1.31934 -2.16374  | Fitness: -1.99711
Generation: 22 | 2.12334 0.22654  | Fitness: -1.9973
Generation: 23 | -1.79684 -1.68673  | Fitness: -1.99922
Generation: 24 | -1.79684 -1.68673  | Fitness: -1.99922
Generation: 25 | -1.27659 -2.10841  | Fitness: -1.9964
Generation: 26 | 1.5919 0.290341  | Fitness: -1.99984
Generation: 27 | 2.23929 1.12747  | Fitness: -1.99693
Generation: 28 | 2.28462 1.12687  | Fitness: -1.97197
Generation: 29 | -4.23482 -2.57616  | Fitness: -1.98607
Generation: 30 | -4.23482 -2.57616  | Fitness: -1.98607
Generation: 31 | -4.10171 -2.53472  | Fitness: -1.99958
Generation: 32 | -4.10171 -2.53472  | Fitness: -1.99958
Generation: 33 | -1.62323 -1.89119  | Fitness: -1.95273
Generation: 34 | -1.40458 -1.95281  | Fitness: -1.9951
Generation: 35 | 2.04416 1.146  | Fitness: -1.99115
Generation: 36 | -3.76139 -2.4395  | Fitness: -1.99856
Generation: 37 | 1.71215 0.0181184  | Fitness: -1.99906
Generation: 38 | -3.18716 -1.45356  | Fitness: -1.99918
Generation: 39 | -3.18716 -1.45356  | Fitness: -1.99918
Generation: 40 | -2.54006 -0.558045  | Fitness: -1.99983
Generation: 41 | -2.54006 -0.558045  | Fitness: -1.99983
Generation: 42 | -2.55924 -0.589194  | Fitness: -1.99986
Generation: 43 | -3.1187 -1.44597  | Fitness: -1.99575
Generation: 44 | -3.1187 -1.44597  | Fitness: -1.99575
Generation: 45 | -3.0402 -1.41761  | Fitness: -1.99979
Generation: 46 | -3.0402 -1.41761  | Fitness: -1.99979
Generation: 47 | -3.0402 -1.41761  | Fitness: -1.99979
Generation: 48 | -3.0402 -1.41761  | Fitness: -1.99979
Generation: 49 | -3.0402 -1.41761  | Fitness: -1.99979
Generation: 50 | -3.05038 -1.43179  | Fitness: -1.9817
Generation: 51 | -2.99187 -1.53311  | Fitness: -1.94054
Generation: 52 | 0.0452397 -1.17327  | Fitness: -1.99997
Generation: 53 | -1.36631 -0.546961  | Fitness: -1.99938
Generation: 54 | -2.78458 -1.79903  | Fitness: -1.99785
Generation: 55 | -2.78458 -1.79903  | Fitness: -1.99785
Generation: 56 | -2.84102 -1.47353  | Fitness: -1.98009
Generation: 57 | -2.39557 -1.07624  | Fitness: -1.9993
Generation: 58 | -2.39557 -1.07624  | Fitness: -1.9993
Generation: 59 | -2.39557 -1.07624  | Fitness: -1.9993
Generation: 60 | -2.39557 -1.07624  | Fitness: -1.9993
Generation: 61 | -2.41359 -1.09705  | Fitness: -1.99999
Generation: 62 | 1.04785 0.529714  | Fitness: -1.99998
Generation: 63 | -0.773904 0.309211  | Fitness: -1.98316
Generation: 64 | -2.3577 -1.26553  | Fitness: -1.99963
Generation: 65 | -0.146176 0.331413  | Fitness: -2
Generation: 66 | -2.33005 -1.23853  | Fitness: -1.99995
Generation: 67 | -2.32804 -1.0993  | Fitness: -1.99999
Generation: 68 | -2.32804 -1.0993  | Fitness: -1.99999
Generation: 69 | -2.32804 -1.0993  | Fitness: -1.99999
Generation: 70 | -3.24934 -2.13161  | Fitness: -1.99824
Generation: 71 | -3.24934 -2.13161  | Fitness: -1.99824
Generation: 72 | -3.19824 -2.09175  | Fitness: -1.9999
Generation: 73 | -0.269938 0.220767  | Fitness: -1.99234
Generation: 74 | -0.311863 0.188978  | Fitness: -1.99976
Generation: 75 | -0.305034 0.196708  | Fitness: -1.99998
Generation: 76 | -0.307018 0.196335  | Fitness: -1.9998
Generation: 77 | -0.307018 0.196335  | Fitness: -1.9998
Generation: 78 | -0.307018 0.196335  | Fitness: -1.9998
Generation: 79 | -0.302527 0.201247  | Fitness: -1.99995
Generation: 80 | -0.302527 0.201247  | Fitness: -1.99995
Generation: 81 | -0.309857 0.187647  | Fitness: -2
Generation: 82 | -0.310218 0.187541  | Fitness: -2
Generation: 83 | -0.307176 0.191295  | Fitness: -1.99999
Generation: 84 | -0.307176 0.191295  | Fitness: -1.99999
Generation: 85 | -0.307718 0.191002  | Fitness: -2
Generation: 86 | -0.307722 0.190996  | Fitness: -2
Generation: 87 | -0.308903 0.189444  | Fitness: -2
Generation: 88 | -0.308903 0.189444  | Fitness: -2
Generation: 89 | -0.309242 0.188713  | Fitness: -2
Generation: 90 | -0.308633 0.189136  | Fitness: -1.99999
Generation: 91 | -0.30848 0.190862  | Fitness: -1.99999
Generation: 92 | -0.30983 0.187498  | Fitness: -2
Generation: 93 | -0.30983 0.187498  | Fitness: -2
Generation: 94 | -0.309836 0.187377  | Fitness: -2
Generation: 95 | -0.310934 0.185783  | Fitness: -2
Generation: 96 | -0.346357 0.106543  | Fitness: -2
Generation: 97 | -0.345483 0.107871  | Fitness: -1.99999
Generation: 98 | -0.344904 0.10869  | Fitness: -1.99998
Generation: 99 | -0.328685 0.15381  | Fitness: -1.99999
Generation: 100 | -0.329 0.15283  | Fitness: -1.99999
Generation: 101 | -0.329257 0.152352  | Fitness: -1.99999
Generation: 102 | -0.329515 0.151433  | Fitness: -2
Generation: 103 | -0.349002 0.0946462  | Fitness: -1.99998
Generation: 104 | -0.347536 0.101584  | Fitness: -2
Generation: 105 | -0.34812 0.0965498  | Fitness: -1.99995
Generation: 106 | -0.347719 0.0974878  | Fitness: -1.99994
Generation: 107 | -0.347719 0.0974878  | Fitness: -1.99994
Generation: 108 | -0.352589 0.0846765  | Fitness: -2
Generation: 109 | -0.35217 0.0851676  | Fitness: -2
Generation: 110 | -0.352116 0.0852902  | Fitness: -2
Generation: 111 | -0.353319 0.0757602  | Fitness: -1.99996
Generation: 112 | -0.353319 0.0757602  | Fitness: -1.99996
Generation: 113 | -0.353316 0.0757641  | Fitness: -1.99996
Generation: 114 | -0.353316 0.0757641  | Fitness: -1.99996
Generation: 115 | -0.353019 0.0763706  | Fitness: -1.99994
Generation: 116 | -0.353215 0.0762383  | Fitness: -1.99996
Generation: 117 | -0.353386 0.0759208  | Fitness: -1.99997
Generation: 118 | -0.357043 0.0537524  | Fitness: -1.99993
Generation: 119 | -0.357043 0.0537524  | Fitness: -1.99993
Generation: 120 | -0.353079 0.0755528  | Fitness: -1.99993
Generation: 121 | -0.353011 0.0579046  | Fitness: -1.99908
Generation: 122 | -0.338744 -1.70854  | Fitness: -1.99982
Generation: 123 | -0.338744 -1.70854  | Fitness: -1.99982
Generation: 124 | -0.338744 -1.70854  | Fitness: -1.99982
Generation: 125 | -0.338744 -1.70854  | Fitness: -1.99982
Generation: 126 | -0.338739 -1.6786  | Fitness: -2
Generation: 127 | -0.338739 -1.6786  | Fitness: -2
Generation: 128 | -0.338739 -1.6786  | Fitness: -2
Generation: 129 | 0.353811 0.0231656  | Fitness: -1.99743
Generation: 130 | -0.350146 -0.0330254  | Fitness: -1.99525
Generation: 131 | -0.341493 -1.12241  | Fitness: -1.99641
Generation: 132 | -0.361701 -0.0482798  | Fitness: -1.9997
Generation: 133 | -0.361701 -0.0482798  | Fitness: -1.9997
Generation: 134 | -0.336443 -0.0461312  | Fitness: -1.97973
Generation: 135 | -0.331625 -0.88134  | Fitness: -1.9988
Generation: 136 | -0.327255 -0.103396  | Fitness: -1.98535
Generation: 137 | -1.47193 -1.54666  | Fitness: -1.99988
Generation: 138 | -0.378041 -1.70011  | Fitness: -1.99988
Generation: 139 | 0.461766 0.493602  | Fitness: -1.99991
Generation: 140 | -0.31626 -0.175826  | Fitness: -1.99999
Generation: 141 | -0.315643 -0.174066  | Fitness: -1.99985
Generation: 142 | 0.461992 0.493157  | Fitness: -1.99982
Generation: 143 | 0.461992 0.493157  | Fitness: -1.99982
Generation: 144 | -0.308857 -0.148322  | Fitness: -1.9845
Generation: 145 | -0.334224 -1.51199  | Fitness: -1.99998
Generation: 146 | -0.335469 -1.58316  | Fitness: -1.99893
Generation: 147 | 0.36066 -0.0570911  | Fitness: -1.99964
Generation: 148 | -0.34722 -1.54553  | Fitness: -1.99999
Generation: 149 | -0.34722 -1.54553  | Fitness: -1.99999
Generation: 150 | -0.326942 -0.161826  | Fitness: -1.99972
Generation: 151 | -0.33368 -0.587648  | Fitness: -1.99983
Generation: 152 | -0.283491 -0.222353  | Fitness: -1.99982
Generation: 153 | -0.283491 -0.222353  | Fitness: -1.99982
Generation: 154 | -1.57377 0.497973  | Fitness: -1.99993
Generation: 155 | -1.57377 0.497973  | Fitness: -1.99993
Generation: 156 | -0.284365 -0.228136  | Fitness: -1.99977
Generation: 157 | -0.284365 -0.228136  | Fitness: -1.99977
Generation: 158 | -0.284365 -0.228136  | Fitness: -1.99977
Generation: 159 | -0.271944 -0.239155  | Fitness: -2
Generation: 160 | -0.271944 -0.239155  | Fitness: -2
Generation: 161 | 0.476687 0.479595  | Fitness: -1.99999
Generation: 162 | 0.476456 0.479528  | Fitness: -1.99994
Generation: 163 | -1.51038 -1.50915  | Fitness: -1.99992
Generation: 164 | 0.477038 0.481172  | Fitness: -1.99917
Generation: 165 | -0.271926 -0.232674  | Fitness: -1.99914
Generation: 166 | -0.272248 -0.232979  | Fitness: -1.9993
Generation: 167 | 0.476744 0.479099  | Fitness: -1.99989
Generation: 168 | -0.272051 -0.236219  | Fitness: -1.99982
Generation: 169 | 0.476721 0.479665  | Fitness: -2
Generation: 170 | 0.476775 0.479623  | Fitness: -2
Generation: 171 | 0.476721 0.479665  | Fitness: -2
Generation: 172 | 0.476721 0.479665  | Fitness: -2
Generation: 173 | 0.476721 0.479665  | Fitness: -2
Generation: 174 | -0.2538 -0.255247  | Fitness: -1.99975
Generation: 175 | -0.2538 -0.255247  | Fitness: -1.99975
Generation: 176 | -0.2538 -0.255247  | Fitness: -1.99975
Generation: 177 | -0.261159 -0.252237  | Fitness: -1.99997
Generation: 178 | 0.477702 0.479028  | Fitness: -1.99998
Generation: 179 | 0.477702 0.479028  | Fitness: -1.99998
Generation: 180 | 0.477458 0.478761  | Fitness: -1.99998
Generation: 181 | -0.253875 -0.258388  | Fitness: -2
Generation: 182 | -0.253875 -0.258388  | Fitness: -2
Generation: 183 | -0.253932 -0.258062  | Fitness: -2
Generation: 184 | -0.253735 -0.258172  | Fitness: -1.99999
Generation: 185 | -0.253793 -0.258175  | Fitness: -2
Generation: 186 | -0.253793 -0.258175  | Fitness: -2
Generation: 187 | -0.253793 -0.258175  | Fitness: -2
Generation: 188 | -0.253793 -0.258175  | Fitness: -2
Generation: 189 | -0.253793 -0.258175  | Fitness: -2
Generation: 190 | -0.254311 -0.258657  | Fitness: -1.99999
