Generation: 104 | 1.96626 0.965756  | Fitness: -5.11571
Generation: 105 | 1.96626 0.965756  | Fitness: -5.11571
Generation: 106 | 1.96626 0.965756  | Fitness: -5.11571
Generation: 107 | 1.96621 0.965719  | Fitness: -5.1156
Generation: 108 | 1.96621 0.965719  | Fitness: -5.1156
Generation: 109 | 1.96621 0.965719  | Fitness: -5.1156
Generation: 110 | 1.96599 0.96558  | Fitness: -5.11521
Generation: 111 | 1.96486 0.96487  | Fitness: -5.11316
Generation: 112 | 1.96484 0.964852  | Fitness: -5.1131
Generation: 113 | 1.96484 0.964852  | Fitness: -5.1131
Generation: 114 | 1.96484 0.964852  | Fitness: -5.1131
Generation: 115 | 1.96484 0.964852  | Fitness: -5.1131
Generation: 116 | 1.96484 0.964852  | Fitness: -5.1131
Generation: 117 | 1.96481 0.964834  | Fitness: -5.11305
Generation: 118 | 1.96481 0.964834  | Fitness: -5.11305
Generation: 119 | 1.96473 0.964782  | Fitness: -5.1129
Generation: 120 | 1.9644 0.964556  | Fitness: -5.11228
Generation: 121 | 1.9631 0.963716  | Fitness: -5.10982
Generation: 122 | 1.96306 0.963693  | Fitness: -5.10975
Generation: 123 | 1.963 0.963643  | Fitness: -5.10962
Generation: 124 | 1.963 0.963643  | Fitness: -5.10962
Generation: 125 | 1.963 0.963643  | Fitness: -5.10962
Generation: 126 | 1.96292 0.96358  | Fitness: -5.10945
Generation: 127 | 1.96292 0.96358  | Fitness: -5.10945
Generation: 128 | 1.96287 0.963548  | Fitness: -5.10936
Generation: 129 | 1.96284 0.96353  | Fitness: -5.10931
Generation: 130 | 1.96278 0.963481  | Fitness: -5.10918
Generation: 131 | 1.96278 0.963481  | Fitness: -5.10918
Generation: 132 | 1.96278 0.963481  | Fitness: -5.10918
Generation: 133 | 1.96267 0.963408  | Fitness: -5.10896
Generation: 134 | 1.96267 0.963408  | Fitness: -5.10896
Generation: 135 | 1.96267 0.963408  | Fitness: -5.10896
Generation: 136 | 1.96267 0.963408  | Fitness: -5.10896
Generation: 137 | 1.96267 0.963408  | Fitness: -5.10896
Generation: 138 | 1.96267 0.963408  | Fitness: -5.10896
Generation: 139 | 1.96264 0.96339  | Fitness: -5.10891
Generation: 140 | 1.96264 0.96339  | Fitness: -5.10891
Generation: 141 | 1.96264 0.96339  | Fitness: -5.10891
Generation: 142 | 1.96264 0.96339  | Fitness: -5.10891
Generation: 143 | 1.96262 0.963374  | Fitness: -5.10886
Generation: 144 | 1.96262 0.963374  | Fitness: -5.10886
Generation: 145 | 1.96262 0.963374  | Fitness: -5.10886
Generation: 146 | 1.96258 0.963352  | Fitness: -5.1088
Generation: 147 | 1.96258 0.963352  | Fitness: -5.1088
Generation: 148 | 1.96256 0.963334  | Fitness: -5.10874
Generation: 149 | 1.96252 0.963309  | Fitness: -5.10867
Generation: 150 | 1.96242 0.963248  | Fitness: -5.10849
Generation: 151 | 1.96242 0.963248  | Fitness: -5.10849
Generation: 152 | 1.96236 0.963205  | Fitness: -5.10836
Generation: 153 | 1.96236 0.963204  | Fitness: -5.10836
Generation: 154 | 1.96236 0.963204  | Fitness: -5.10836
Generation: 155 | 1.96236 0.963204  | Fitness: -5.10836
Generation: 156 | 1.96235 0.963203  | Fitness: -5.10836
Generation: 157 | 1.96233 0.963184  | Fitness: -5.1083
Generation: 158 | 1.96233 0.963184  | Fitness: -5.1083
Generation: 159 | 1.96227 0.963147  | Fitness: -5.10819
Generation: 160 | 1.96225 0.963135  | Fitness: -5.10816
Generation: 161 | 1.9622 0.963105  | Fitness: -5.10807
Generation: 162 | 1.9622 0.963105  | Fitness: -5.10807
Generation: 163 | 1.96219 0.963093  | Fitness: -5.10803
Generation: 164 | 1.96219 0.963093  | Fitness: -5.10803
Generation: 165 | 1.96217 0.963085  | Fitness: -5.10801
Generation: 166 | 1.96217 0.963084  | Fitness: -5.108
Generation: 167 | 1.96217 0.963082  | Fitness: -5.108
Generation: 168 | 1.96217 0.963081  | Fitness: -5.108
Generation: 169 | 1.96216 0.963079  | Fitness: -5.10799
Generation: 170 | 1.96213 0.963059  | Fitness: -5.10793
Generation: 171 | 1.96213 0.963059  | Fitness: -5.10793
Generation: 172 | 1.9621 0.96304  | Fitness: -5.10787
Generation: 173 | 1.96205 0.963009  | Fitness: -5.10778
Generation: 174 | 1.96205 0.963009  | Fitness: -5.10778
Generation: 175 | 1.96205 0.963009  | Fitness: -5.10778
Generation: 176 | 1.96205 0.963008  | Fitness: -5.10778
Generation: 177 | 1.96205 0.963004  | Fitness: -5.10776
Generation: 178 | 1.96205 0.963004  | Fitness: -5.10776
Generation: 179 | 1.96205 0.963004  | Fitness: -5.10776
Generation: 180 | 1.96205 0.963004  | Fitness: -5.10776
Generation: 181 | 1.96205 0.963004  | Fitness: -5.10776
Generation: 182 | 1.96199 0.962971  | Fitness: -5.10766
Generation: 183 | 1.96199 0.962971  | Fitness: -5.10766
Generation: 184 | 1.96197 0.962954  | Fitness: -5.10761
Generation: 185 | 1.96195 0.962942  | Fitness: -5.10758
Generation: 186 | 1.96194 0.962934  | Fitness: -5.10755
Generation: 187 | 1.96194 0.962934  | Fitness: -5.10755
Generation: 188 | 1.9619 0.962912  | Fitness: -5.10748
Generation: 189 | 1.9619 0.962912  | Fitness: -5.10748
Generation: 190 | 1.9619 0.962912  | Fitness: -5.10748
Generation: 191 | 1.9619 0.96291  | Fitness: -5.10748
Generation: 192 | 1.96187 0.962892  | Fitness: -5.10743
Generation: 193 | 1.96187 0.962892  | Fitness: -5.10743
Generation: 194 | 1.96187 0.962892  | Fitness: -5.10743
Generation: 195 | 1.9618 0.962846  | Fitness: -5.10728
Generation: 196 | 1.96177 0.96283  | Fitness: -5.10723
Generation: 197 | 1.96177 0.962828  | Fitness: -5.10723
Generation: 198 | 1.96177 0.962826  | Fitness: -5.10723
Generation: 199 | 1.96177 0.962826  | Fitness: -5.10723
Generation: 200 | 1.96174 0.962806  | Fitness: -5.10717
